assex,assey
10.778737,0
10.778691,0
10.778646,0
10.7786,0
10.778554,0
10.778509,0
10.778463,0
10.778417,0
10.778372,0
10.778326,0
10.77828,0
10.778235,0
10.778189,0
10.778143,0
10.778098,0
10.778052,0
10.778006,0
10.777961,0
10.777915,0
10.77787,0
10.777824,0
10.777778,0
10.777733,0
10.777687,0
10.777641,0
10.777596,0
10.77755,0
10.777504,0
10.777459,0
10.777413,0
10.777367,0
10.777322,0
10.777276,0
10.77723,0
10.777185,0
10.777139,0
10.777093,0
10.777048,0
10.777002,0
10.776956,0
10.776911,0
10.776865,0
10.776819,0
10.776774,0
10.776728,0
10.776682,0
10.776637,0
10.776591,0
10.776545,0
10.7765,0
10.776454,0
10.776408,0
10.776363,0
10.776317,0
10.776271,0
10.776226,0
10.77618,0
10.776134,0
10.776089,0
10.776043,0
10.775997,0
10.775952,0
10.775906,0
10.77586,0
10.775815,0
10.775769,0
10.775723,0
10.775678,0
10.775632,0
10.775586,0
10.775541,0
10.775495,0
10.775449,0
10.775404,0
10.775358,0
10.775312,0
10.775267,0
10.775221,0
10.775175,0
10.77513,0
10.775084,0
10.775038,0
10.774993,0
10.774947,0
10.774901,0
10.774856,0
10.77481,0
10.774764,0
10.774719,0
10.774673,0
10.774627,0
10.774582,0
10.774536,0
10.77449,0
10.774445,0
10.774399,0
10.774353,0
10.774308,0
10.774262,0
10.774216,0
10.774171,0
10.774125,0
10.774079,0
10.774034,0
10.773988,0
10.773942,0
10.773897,0
10.773851,0
10.773805,0
10.77376,0
10.773714,0
10.773668,0
10.773623,0
10.773577,0
10.773531,0
10.773486,0
10.77344,0
10.773394,0
10.773349,0
10.773303,0
10.773257,0
10.773212,0
10.773166,0
10.77312,0
10.773075,0
10.773029,0
10.772983,0
10.772938,0
10.772892,0
10.772846,0
10.772801,0
10.772755,0
10.772709,0
10.772664,0
10.772618,0
10.772572,0
10.772527,0
10.772481,0
10.772435,0
10.77239,0
10.772344,0
10.772298,0
10.772253,0
10.772207,0
10.772161,0
10.772116,0
10.77207,0
10.772024,0
10.771979,0
10.771933,0
10.771887,0
10.771842,0
10.771796,0
10.771751,0
10.771705,0
10.771659,0
10.771614,0
10.771568,0
10.771522,0
10.771477,0
10.771431,0
10.771385,0
10.77134,0
10.771294,0
10.771248,0
10.771203,0
10.771157,0
10.771111,0
10.771066,0
10.77102,0
10.770974,0
10.770929,0
10.770883,0
10.770837,0
10.770792,0
10.770746,0
10.7707,0
10.770655,0
10.770609,0
10.770563,0
10.770518,0
10.770472,0
10.770426,0
10.770381,0
10.770335,0
10.770289,0
10.770244,0
10.770198,0
10.770152,0
10.770107,0
10.770061,0
10.770015,0
10.76997,0
10.769924,0
10.769878,0
10.769833,0
10.769787,0
10.769741,0
10.769696,0
10.76965,0
10.769604,0
10.769559,0
10.769513,0
10.769467,0
10.769422,0
10.769376,0
10.76933,0
10.769285,0
10.769239,0
10.769193,0
10.769148,0
10.769102,0
10.769056,0
10.769011,0
10.768965,0
10.768919,0
10.768874,0
10.768828,0
10.768782,0
10.768737,0
10.768691,0
10.768645,0
10.7686,0
10.768554,0
10.768508,0
10.768463,0
10.768417,0
10.768371,0
10.768326,0
10.76828,0
10.768234,0
10.768189,0
10.768143,0
10.768097,0
10.768052,0
10.768006,0
10.76796,0
10.767915,0
10.767869,0
10.767823,0
10.767778,0
10.767732,0
10.767686,0
10.767641,0
10.767595,0
10.767549,0
10.767504,0
10.767458,0
10.767412,0
10.767367,0
10.767321,0
10.767275,0
10.76723,0
10.767184,0
10.767138,0
10.767093,0
10.767047,0
10.767001,0
10.766956,0
10.76691,0
10.766864,0
10.766819,0
10.766773,0
10.766727,0
10.766682,0
